item,mdl_no,source_document,subject_id,subject_definition,reached,express,party_direction,court_resolution,note_optional
13,3178,"MDL 3178 - Order granting Letter Motion for Discovery (TEXT-ONLY ORDER; the docket entry is the whole order), In re ByHeart Infant Formula Litig. (S.D.N.Y. Apr. 13, 2026) (Subramanian, J.), ECF 3",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,FALSE,FALSE,FALSE,FALSE,
14,3185,"MDL 3185 - Order Setting Initial Conference, In re Cognizant/TriZetto Data Sec. Breach Litig. (E.D. Mo. June 11, 2026) (Ross, J.), ECF 6",b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,FALSE,FALSE,FALSE,FALSE,
15,3162,"MDL 3162 - Initial Procedure Order No. 1, In re Class Action Settlement Administration Litig. (D.D.C. Jan. 7, 2026) (Bates, J.), ECF 8",b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,TRUE,TRUE,FALSE,
16,3172,"MDL 3172 - Order Upon Transfer (Feb. 18, 2026) AND chambers letter (June 22, 2026) together, In re Cartiva Synthetic Cartilage Implant Prod. Liab. Litig. (E.D. Ark.) (Baker, C.J.), ECF 5 and 15",b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,FALSE,FALSE,FALSE,FALSE,
17,3162,"MDL 3162 - Initial Procedure Order No. 1, In re Class Action Settlement Administration Litig. (D.D.C. Jan. 7, 2026) (Bates, J.), ECF 8",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,TRUE,TRUE,"Court both solicits views and fixes automatic consolidation and notice treatment for later-filed tag-along actions."
18,3185,"MDL 3185 - Order Setting Initial Conference, In re Cognizant/TriZetto Data Sec. Breach Litig. (E.D. Mo. June 11, 2026) (Ross, J.), ECF 6",b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,FALSE,FALSE,FALSE,FALSE,
19,3178,"MDL 3178 - Order granting Letter Motion for Discovery (TEXT-ONLY ORDER; the docket entry is the whole order), In re ByHeart Infant Formula Litig. (S.D.N.Y. Apr. 13, 2026) (Subramanian, J.), ECF 3",b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,FALSE,FALSE,FALSE,FALSE,
21,3180,"MDL 3180 - Initial Procedure Order No. 1, In re Dupixent (Dupilumab) Prods. Liab. Litig. (D.N.J. June 11, 2026) (Quraishi, J.), ECF 3",b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,TRUE,TRUE,FALSE,
22,3172,"MDL 3172 - Order Upon Transfer (Feb. 18, 2026) AND chambers letter (June 22, 2026) together, In re Cartiva Synthetic Cartilage Implant Prod. Liab. Litig. (E.D. Ark.) (Baker, C.J.), ECF 5 and 15",b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,FALSE,TRUE,
23,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,
24,3180,"MDL 3180 - Initial Procedure Order No. 1, In re Dupixent (Dupilumab) Prods. Liab. Litig. (D.N.J. June 11, 2026) (Quraishi, J.), ECF 3",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,TRUE,TRUE,FALSE,
25,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,FALSE,FALSE,FALSE,
26,3179,"MDL 3179 - Order for Telephone Conference, In re Fire Apparatus Antitrust Litig. (E.D. Wis. Apr. 10, 2026) (Griesbach, J.), ECF 2",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,FALSE,FALSE,FALSE,FALSE,
27,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,FALSE,"The report incorporates every Rule 16.1 matter; a separate sentence expressly refers to lawyers seeking leadership positions."
28,3174,"MDL 3174 - Order re: Initial Case Management Conference, In re Air Crash at Muan Int'l Airport (W.D. Wash. Apr. 16, 2026) (Robart, J.), ECF 4",b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,TRUE,FALSE,
29,3170,"MDL 3170 - Case Management Orders #1 AND #2 together, In re Trans Union Customer Data Sec. Breach Litig. (N.D. Ill. Dec. 18, 2025) (Gettleman, J.), ECF 22 and 23",b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,TRUE,FALSE,
30,3179,"MDL 3179 - Order for Telephone Conference, In re Fire Apparatus Antitrust Litig. (E.D. Wis. Apr. 10, 2026) (Griesbach, J.), ECF 2",b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",FALSE,FALSE,FALSE,FALSE,
31,3167,"MDL 3167 - Notice and Order of Case Management Hearing (PTO 1), In re Broiler Chicken Grower Antitrust Litig. (No. III) (D. Utah Dec. 31, 2025) (Shelby, J.)",b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,FALSE,FALSE,FALSE,
32,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,TRUE,
33,3185,"MDL 3185 - Order Setting Initial Conference, In re Cognizant/TriZetto Data Sec. Breach Litig. (E.D. Mo. June 11, 2026) (Ross, J.), ECF 6",b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,
34,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,TRUE,TRUE,"The Rule 16.1 report catch-all supplies direction; the order separately fixes automatic consolidation of actions filed in the district."
35,3180,"MDL 3180 - Initial Procedure Order No. 1, In re Dupixent (Dupilumab) Prods. Liab. Litig. (D.N.J. June 11, 2026) (Quraishi, J.), ECF 3",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,FALSE,
36,3170,"MDL 3170 - Case Management Orders #1 AND #2 together, In re Trans Union Customer Data Sec. Breach Litig. (N.D. Ill. Dec. 18, 2025) (Gettleman, J.), ECF 22 and 23",b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,FALSE,
37,3163,"MDL 3163 - Case Management Order No. 1, In re GLP-1 RAs NAION Prods. Liab. Litig. (E.D. Pa. Dec. 23, 2025) (Marston, J.), ECF 2",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,FALSE,FALSE,FALSE,FALSE,
38,3181,"MDL 3181 - Pretrial Order No. 1: Setting Initial Scheduling Conference, In re Boston Scientific Spinal Cord Stimulator Prods. Liab. Litig. (C.D. Cal. June 23, 2026) (Staton, J.), ECF 2",b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,FALSE,TRUE,
39,3170,"MDL 3170 - Case Management Orders #1 AND #2 together, In re Trans Union Customer Data Sec. Breach Litig. (N.D. Ill. Dec. 18, 2025) (Gettleman, J.), ECF 22 and 23",b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,FALSE,
40,3171,"MDL 3171 - Pretrial Order No. 1, In re Lyft Passenger Sexual Assault Litig. (N.D. Cal. Feb. 12, 2026) (Lin, J.), ECF 2",b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,TRUE,"Automatic consolidation and mandatory Panel notice fix a coordination method while the case-management statement also addresses related cases."
41,3181,"MDL 3181 - Pretrial Order No. 1: Setting Initial Scheduling Conference, In re Boston Scientific Spinal Cord Stimulator Prods. Liab. Litig. (C.D. Cal. June 23, 2026) (Staton, J.), ECF 2",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,FALSE,TRUE,"The later-filed-cases clause applies the order to related actions filed in the transferee court, but it does not create a fuller direct-filing protocol."
42,3180,"MDL 3180 - Initial Procedure Order No. 1, In re Dupixent (Dupilumab) Prods. Liab. Litig. (D.N.J. June 11, 2026) (Quraishi, J.), ECF 3",b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,TRUE,TRUE,FALSE,
43,3163,"MDL 3163 - Case Management Order No. 1, In re GLP-1 RAs NAION Prods. Liab. Litig. (E.D. Pa. Dec. 23, 2025) (Marston, J.), ECF 2",b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,FALSE,FALSE,FALSE,FALSE,
44,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,FALSE,FALSE,FALSE,
45,3175,"MDL 3175 - Order Setting Judicial Management Conference, In re Shell Eggs Antitrust Litig. (W.D. Wis. Mar. 26, 2026) (Peterson, J.), ECF 23 in 3:26-cv-00157",b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,FALSE,FALSE,FALSE,
46,3174,"MDL 3174 - Order re: Initial Case Management Conference, In re Air Crash at Muan Int'l Airport (W.D. Wash. Apr. 16, 2026) (Robart, J.), ECF 4",b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,FALSE,
47,3166,"MDL 3166 - Pretrial Order No. 1, In re Roblox Corp. Child Sexual Exploitation Litig. (N.D. Cal. Dec. 17, 2025) (Seeborg, C.J.), ECF 2",b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,TRUE,"The order both asks for reporting methods and fixes interim liaison counsel's notice-transmission role."
48,3162,"MDL 3162 - Initial Procedure Order No. 1, In re Class Action Settlement Administration Litig. (D.D.C. Jan. 7, 2026) (Bates, J.), ECF 8",b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,FALSE,
49,3178,"MDL 3178 - Order granting Letter Motion for Discovery (TEXT-ONLY ORDER; the docket entry is the whole order), In re ByHeart Infant Formula Litig. (S.D.N.Y. Apr. 13, 2026) (Subramanian, J.), ECF 3",b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,FALSE,FALSE,FALSE,FALSE,
50,3170,"MDL 3170 - Case Management Orders #1 AND #2 together, In re Trans Union Customer Data Sec. Breach Litig. (N.D. Ill. Dec. 18, 2025) (Gettleman, J.), ECF 22 and 23",b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,FALSE,FALSE,FALSE,FALSE,
